Round,Date,Total,New,Re-imp,Tag added,Source,Individual ,Entity ,Aircraft,Vessle,Iranian ,Non-Iranian,[SDGT],[NPWMD], [IRGC], [IFSR],[IRAN] ,[IFCA],[IRAN-TRA],[CYBER2],[SYRIA],[IRAQ3],[HRIT-IR],[IRAN-HR]
1,"February 3, 2017",25,25,0,0,https://www.treasury.gov/press-center/press-releases/Pages/as0004.aspx,13,12,0,0,13,12,8,17,8,25,0,0,0,0,0,0,0,0
2,"April 13, 2017",2,2,0,0,https://home.treasury.gov/index.php/news/press-release/sm0043,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2
3,"May 17, 2017",7,7,0,0,https://www.treasury.gov/press-center/press-releases/Pages/sm0088.aspx,2,5,0,0,5,4,0,7,0,7,0,0,0,0,0,0,0,0
4,"July 28, 2017",6,6,0,0,https://home.treasury.gov/index.php/news/press-releases/sm0136,0,6,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0
5,"September 14, 2017",11,11,0,0,https://www.treasury.gov/press-center/press-releases/Pages/sm0158.aspx,7,4,0,0,9,2,2,1,0,3,0,0,0,8,0,0,0,0
6,"October 13, 2017",5,4,0,1,https://www.treasury.gov/press-center/press-releases/Pages/sm0177.aspx,0,5,0,0,4,1,1,4,0,4,0,0,0,0,0,0,0,0
7,"October 31, 2017",41,0,0,41,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20171031_33.aspx,12,29,0,0,41,0,41,0,0,0,0,0,0,0,0,0,0,0
8,"November 20, 2017",6,6,0,0,https://www.treasury.gov/press-center/press-releases/Pages/sm0219.aspx,2,4,0,0,4,2,6,0,6,6,0,0,0,0,0,0,0,0
9,"January 4, 2018",5,5,0,0,https://home.treasury.gov/news/press-releases/sm0246,0,5,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0
10,"January 12, 2018",14,14,0,0,https://home.treasury.gov/news/press-releases/sm0250,5,9,0,0,10,4,1,8,1,9,0,0,2,0,0,0,1,3
11,"March 23, 2018",11,11,0,0,https://home.treasury.gov/news/press-releases/sm0332,10,1,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0
12,"May 10, 2018",9,9,0,0,https://home.treasury.gov/news/press-releases/sm0383,6,3,0,0,9,0,9,0,9,9,0,0,0,0,0,0,0,0
13,"May 15, 2018",5,5,0,0,https://home.treasury.gov/news/press-releases/sm0385,4,1,0,0,2,3,5,0,2,4,0,0,0,0,0,0,0,0
14,"May 22, 2018",5,5,0,0,https://home.treasury.gov/news/press-releases/sm0392,5,0,0,0,5,0,4,1,5,5,0,0,0,0,0,0,0,0
15,"May 24, 2018",40,40,0,0,https://home.treasury.gov/news/press-releases/sm0395,3,6,31,0,35,5,40,0,5,40,0,0,0,0,0,0,0,0
16,"May 30, 2018",9,9,0,0,https://home.treasury.gov/news/press-releases/sm0397,6,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,1,5
17,"July 9, 2018",1,1,0,0,https://home.treasury.gov/news/press-releases/sm423,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
18,"August 6, 2018",-,-,-,-,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20180806.aspx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,"September 14, 2018",1,1,0,0,https://home.treasury.gov/news/press-releases/sm484,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
20,"October 16, 2018",21,17,3,1,https://home.treasury.gov/news/press-releases/sm524,0,21,0,0,21,0,20,0,0,21,3,0,0,0,0,0,0,0
21,"November 5, 2018",706,443,262,1,https://home.treasury.gov/news/press-releases/sm541,26,414,67,199,511,195,40,10,0,48,667,5,1,0,0,0,0,1
22,"November 20, 2018",10,9,0,1,https://home.treasury.gov/news/press-releases/sm553,6,4,0,0,3,7,6,0,4,4,0,0,0,0,6,0,0,0
23,"November 28, 2018",2,2,0,0,https://home.treasury.gov/news/press-releases/sm556,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
24,"January 24, 2019",7,6,0,1,https://home.treasury.gov/news/press-releases/sm590,0,5,2,0,3,4,6,0,2,6,0,0,0,0,0,0,0,3
25,"February 13, 2019",12,11,0,1,https://home.treasury.gov/news/press-releases/sm611,10,2,0,0,12,0,5,0,0,5,0,0,0,0,0,0,7,0